Commerce Cloud Product Active Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
productID,revenueDay,unitsDay,ordersDay,impressionsDay,viewsDay,avgSalesPriceDay,conversionDay,revenueWeek,unitsWeek,ordersWeek,impressionsWeek,viewsWeek,avgSalesPriceWeek,conversionWeek,revenueMonth,unitsMonth,ordersMonth,impressionsMonth,viewsMonth,avgSalesPriceMonth,conversionMonth,revenueYear,unitsYear,ordersYear,impressionsYear,viewsYear,avgSalesPriceYear,conversionYear
8884304016M,120,2,2,93,18,60,0.012214,1004.22,15,14,770,131,71.73,0.0122,3677.4,57,54,3375,608,68.1,0.011139,40393.08,805,756,41049,5753,53.43,0.019509
8884304023M,120,2,2,120,12,60,0.012214,1100.1,15,15,750,89,73.34,0.013071,4325.88,70,59,3385,432,73.32,0.012171,44218.2,970,780,36724,3540,56.69,0.020129
8884304030M,110,2,2,96,29,55,0.012214,795.43,19,17,572,200,46.79,0.014814,3242.96,65,56,2375,707,57.91,0.011552,35697.83,918,791,39180,9333,45.13,0.020412
8884304047M,165,3,3,108,25,55,0.018321,1335,21,20,929,144,66.75,0.017428,3361.5,88,75,3384,646,44.82,0.015471,48739,1146,940,38344,9015,51.85,0.024258
8884304054M,660,13,12,195,67,55,0.073284,4448.22,107,98,1106,561,45.39,0.085398,17731.7,353,347,5921,2048,51.1,0.071581,34465.8,532,527,9477,2951,65.4,0.0136
8884304061M,130,2,2,32,13,65,0.012214,794.88,13,12,275,86,66.24,0.010457,4653.08,66,61,1090,484,76.28,0.012583,37922.67,613,603,11011,5448,62.89,0.015561
8884304078M,65,1,1,75,7,65,0.006107,330.45,6,5,433,42,66.09,0.004357,2470.1,39,34,2534,256,72.65,0.007014,28963.44,492,424,28741,2551,68.31,0.010942
8884304085M,390,7,6,210,30,65,0.036642,2576.88,44,36,1249,175,71.58,0.031371,15243.84,232,201,5793,1057,75.84,0.041463,135683.13,2659,2343,66395,11224,57.91,0.060463
8884304108M,780,12,12,162,73,65,0.073284,5713.68,91,84,1033,617,68.02,0.073198,21421.74,417,361,5694,2015,59.34,0.074469,237092.34,4584,3813,69213,29639,62.18,0.098398
8885004519M,495,10,9,136,42,55,0.054963,2828.57,69,61,887,351,46.37,0.053156,15930.88,273,254,4307,1457,62.72,0.052397,180697.8,4743,3954,42337,15130,45.7,0.102037
8885004526M,385,8,7,149,32,55,0.042749,2989.2,54,47,873,181,63.6,0.040956,14895.72,299,252,4889,815,59.11,0.051984,162030.33,3102,2497,59193,10062,64.89,0.064437
8885004533M,420,8,7,181,67,60,0.042749,2903.68,59,52,1171,580,55.84,0.045313,14172,207,200,6309,1787,70.86,0.041257,55540.16,1230,1027,26061,10130,54.08,0.026503
8885004540M,180,3,3,150,19,60,0.018321,1099.53,20,19,1275,148,57.87,0.016557,3877.6,86,74,4774,637,52.4,0.015265,78681.02,1204,1111,67117,5611,70.82,0.02867
