Commerce Cloud Weekly Product Active Data,,,,,,,
productID,revenueYear,unitsYear,ordersYear,impressionsYear,viewsYear,avgSalesPriceYear,conversionYear
8884304016M,40393.08,805,756,41049,5753,53.43,0.019509
8884304023M,44218.2,970,780,36724,3540,56.69,0.020129
8884304030M,35697.83,918,791,39180,9333,45.13,0.020412
8884304047M,48739,1146,940,38344,9015,51.85,0.024258
8884304054M,34465.8,532,527,9477,2951,65.4,0.0136
8884304061M,37922.67,613,603,11011,5448,62.89,0.015561
8884304078M,28963.44,492,424,28741,2551,68.31,0.010942
8884304085M,135683.13,2659,2343,66395,11224,57.91,0.060463
8884304108M,237092.34,4584,3813,69213,29639,62.18,0.098398
8885004519M,180697.8,4743,3954,42337,15130,45.7,0.102037
8885004526M,162030.33,3102,2497,59193,10062,64.89,0.064437
8885004533M,55540.16,1230,1027,26061,10130,54.08,0.026503
8885004540M,78681.02,1204,1111,67117,5611,70.82,0.02867
8885004557M,27432.33,581,479,69261,8756,57.27,0.012361
8885004564M,58007.68,796,778,27019,10462,74.56,0.020077
8885004571M,20631.12,219,188,11509,2073,109.74,0.004852
8885004830M,489061.83,3439,3153,38152,19577,155.11,0.081366
8885004847M,28364.17,561,503,29229,15694,56.39,0.01298
8885004854M,84949.56,2275,1884,59243,34623,45.09,0.048618
8885004861M,106210.32,2123,1704,49977,16358,62.33,0.043973
8885004878M,55095.18,1179,1126,9018,4392,48.93,0.029057
8885004885M,9847.44,384,376,12315,2577,26.19,0.009703
8885004892M,82716.36,2795,2364,34389,8783,34.99,0.061005
8885005141M,58040,2194,2000,40143,10969,29.02,0.051612
8885005158M,23539.6,236,196,12880,2738,120.1,0.005058
8885005165M,440320,4233,4000,53912,13395,110.08,0.103224
8885005172M,94603.32,1265,1038,25545,6888,91.14,0.026787
8885005189M,58881.02,785,638,47831,11655,92.29,0.016464
8885005196M,31265.97,395,339,56289,4528,92.23,0.008748
8885005202M,4495.05,45,45,1796,671,99.89,0.001161
8885535488M,69151.3,575,485,21062,4741,142.58,0.012516
8885535495M,56923.79,497,413,9050,1878,137.83,0.010658
8885535501M,919474.42,5570,5402,92577,22653,170.21,0.139404
8885535518M,185016.04,1591,1478,81048,14609,125.18,0.038141
8885535525M,35908.44,307,258,5062,1109,139.18,0.006658
8885535532M,27755.56,1010,833,9386,5244,33.32,0.021496
8885535549M,5170.86,150,138,14552,1487,37.47,0.003561
8885535556M,15116.66,127,106,5046,832,142.61,0.002735
8885535563M,126099.64,1344,1142,11910,4241,110.42,0.02947
8885535570M,64252.35,608,555,26504,3845,115.77,0.014322
8885535587M,150195.96,1097,991,15205,7028,151.56,0.025574
8885535594M,24184.2,187,170,3331,694,142.26,0.004387
8885535600M,588067.36,4223,4024,35413,12102,146.14,0.103843
8885535617M,79486.4,1099,940,23536,4287,84.56,0.024258
8885538403M,80036.16,890,789,49797,11565,101.44,0.020361
8885538410M,61221.69,721,591,11714,2599,103.59,0.015251
8885538427M,246356.35,2767,2659,71747,20971,92.65,0.068618
8885538434M,15337.52,2893,2404,80950,11973,6.38,0.062037
